Skeleton 0
     0.00000      0.00000      0.00000
     284.996     -857.529      2750.93
Skeleton 0
     0.00000      0.00000 2.12278e-314
     195.693      460.594      2179.13
     178.678      278.585      2282.96
     163.795      89.2828      2385.65
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     25.7827      289.306      2280.56
    -194.057      180.713      2344.11
     0.00000      0.00000      0.00000
    -210.316      367.115      2143.07
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     331.574      267.864      2285.36
     531.929      153.336      2362.68
     0.00000      0.00000      0.00000
     565.167      324.810      2149.18
     0.00000      0.00000      0.00000
     49.5305     -93.0510      2486.78
     64.7145     -497.659      2636.61
     0.00000      0.00000      0.00000
     55.8223     -845.379      2735.93
     248.291     -106.988      2489.90
     275.084     -509.953      2642.45
     0.00000      0.00000      0.00000
     283.230     -860.215      2750.43
Skeleton 0
     0.00000      0.00000 2.12278e-314
     194.354      460.286      2178.68
     177.549      278.071      2282.68
     162.618      88.7055      2385.26
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     24.6643      289.036      2280.67
    -193.029      181.356      2344.06
     0.00000      0.00000      0.00000
    -210.410      366.172      2141.65
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     330.433      267.106      2284.69
     529.964      152.668      2362.84
     0.00000      0.00000      0.00000
     564.359      325.802      2150.30
     0.00000      0.00000      0.00000
     48.3134     -93.5328      2486.53
     65.0006     -499.381      2632.81
     0.00000      0.00000      0.00000
     54.6850     -846.740      2734.57
     247.061     -107.787      2489.14
     272.767     -512.639      2636.80
     0.00000      0.00000      0.00000
     284.875     -862.447      2753.35
Skeleton 0
     0.00000      0.00000 2.12278e-314
     192.638      459.463      2178.96
     175.190      277.820      2282.49
     160.090      88.3655      2384.88
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     22.3172      288.983      2280.60
    -194.516      179.676      2342.53
     0.00000      0.00000      0.00000
    -210.744      366.082      2141.60
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     328.062      266.657      2284.38
     527.981      152.835      2361.92
     0.00000      0.00000      0.00000
     563.404      325.464      2147.77
     0.00000      0.00000      0.00000
     45.6254     -93.8333      2486.04
     63.2036     -498.966      2634.23
     0.00000      0.00000      0.00000
     52.7630     -846.930      2733.43
     244.357     -108.345      2488.50
     271.324     -513.358      2635.58
     0.00000      0.00000      0.00000
     283.349     -861.380      2750.41
Skeleton 0
     0.00000      0.00000 2.12278e-314
     192.072      460.076      2184.10
     173.766      277.763      2284.57
     157.932      87.5876      2385.49
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     20.9425      289.600      2282.90
    -197.260      181.340      2342.26
     0.00000      0.00000      0.00000
    -211.290      370.925      2143.44
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     326.589      265.927      2286.24
     526.488      153.917      2363.46
     0.00000      0.00000      0.00000
     562.879      325.785      2147.71
     0.00000      0.00000      0.00000
     42.7639     -94.8943      2485.32
     59.4316     -499.581      2634.86
     0.00000      0.00000      0.00000
     54.8657     -852.376      2738.24
     241.434     -110.282      2487.49
     270.789     -514.639      2635.94
     0.00000      0.00000      0.00000
     282.605     -859.848      2747.52
Skeleton 0
     0.00000      0.00000 2.12278e-314
     190.422      459.766      2180.67
     172.193      277.705      2283.15
     156.277      88.1970      2385.31
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     19.3776      289.656      2281.51
    -197.630      181.670      2342.13
     0.00000      0.00000      0.00000
    -211.116      373.897      2144.53
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     325.009      265.754      2284.79
     525.744      152.958      2361.73
     0.00000      0.00000      0.00000
     562.151      326.089      2146.86
     0.00000      0.00000      0.00000
     41.0326     -93.5427      2486.40
     61.0406     -498.787      2633.98
     0.00000      0.00000      0.00000
     58.1338     -850.306      2742.55
     239.690     -109.079      2488.53
     269.899     -514.574      2633.65
     0.00000      0.00000      0.00000
     286.523     -858.753      2757.80
Skeleton 0
     0.00000      0.00000 2.12278e-314
     189.871      459.466      2178.46
     171.683      277.587      2282.17
     155.746      88.4348      2384.98
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     18.8726      289.628      2280.64
    -202.815      180.335      2340.57
     0.00000      0.00000      0.00000
    -211.422      375.910      2145.49
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     324.493      265.546      2283.70
     516.873      155.480      2354.87
     0.00000      0.00000      0.00000
     561.672      326.121      2146.27
     0.00000      0.00000      0.00000
     40.4842     -92.8905      2486.81
     62.8396     -498.455      2633.18
     0.00000      0.00000      0.00000
     59.8848     -849.176      2742.65
     239.135     -108.544      2488.80
     271.666     -513.488      2634.98
     0.00000      0.00000      0.00000
     286.577     -853.943      2751.15
Skeleton 0
     0.00000      0.00000 2.12278e-314
     188.689      459.767      2178.35
     171.066      277.363      2282.12
     155.462      88.1032      2384.79
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     18.2516      289.400      2281.08
    -203.908      183.667      2342.78
     0.00000      0.00000      0.00000
    -214.656      375.006      2145.48
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     323.880      265.327      2283.16
     511.436      155.739      2350.93
     0.00000      0.00000      0.00000
     561.533      325.632      2144.15
     0.00000      0.00000      0.00000
     40.5303     -93.3333      2486.79
     63.2542     -497.995      2635.59
     0.00000      0.00000      0.00000
     60.2624     -850.357      2742.61
     239.188     -108.981      2488.14
     272.971     -513.674      2634.76
     0.00000      0.00000      0.00000
     286.119     -855.675      2749.29
Skeleton 0
     0.00000      0.00000 2.12278e-314
     186.913      461.483      2184.79
     169.309      277.608      2283.60
     153.612      86.4743      2382.65
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     16.4942      289.647      2282.62
    -202.454      182.834      2345.89
     0.00000      0.00000      0.00000
    -217.376      373.761      2147.17
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     322.124      265.569      2284.59
     510.217      156.369      2349.97
     0.00000      0.00000      0.00000
     560.444      325.298      2144.18
     0.00000      0.00000      0.00000
     38.5866     -96.8344      2481.06
     62.2431     -501.118      2630.76
     0.00000      0.00000      0.00000
     55.6642     -851.458      2732.57
     237.244     -112.485      2482.34
     270.559     -517.580      2627.96
     0.00000      0.00000      0.00000
     284.589     -860.124      2743.17
Skeleton 0
     0.00000      0.00000 2.12278e-314
     185.729      462.542      2187.01
     167.971      277.637      2283.77
     152.259      85.8232      2381.52
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     15.1604      289.749      2282.97
    -202.228      180.418      2348.45
     0.00000      0.00000      0.00000
